audience,port,type,question,desc,answer,attachment,bucket,categories
student,学生,bug,学生反映听力做完出来阅读就自动complete 了，进不去了 用谷歌答题的,听力时间做完了出来，阅读部分直接显示完成了,,"4a9cc79743bb1f7cf8b597f3e14ccca.jpg,11d944bf91d1b2c4bd777518cca87ef.jpg,0ca4bf032d0e03d8e37e1c9b838ef84.jpg",ticket_or_handoff,"['音频/录音/听力', '浏览器/网络/缓存']"
teacher,老师,bug,我看现在说的是ai不能给我写反馈,反馈这里点击ai生成会报数据获取失败,,,ticket_or_handoff,['作业/布置/批改/反馈']
student,学生,优化,请问什么才算是特殊操作，因为对学生来说，都是正常操作，正常高亮，结果高亮的内容消失了,学生操作高亮时，由于选择了带框文本，导致高亮、笔记后答题框不见了,,"image.png,image.png",ticket_or_handoff,[]
student,学生,数据恢复需求,Gloria林老师: 小助手好，请问这个学生刚刚误删了一项单词作业，技术可以帮忙恢复吗 Gloria林老师:,学生误删作业，需要恢复作业数据,,,ticket_or_handoff,['作业/布置/批改/反馈']
teacher,老师,入学模考配置,老师，想跟你申请配置一个雅思开班模考，模考内容是：雅思的C18-4,新增雅思入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,bug,老师，我改完作业之后，这边首页为什么还是显示「待批改」，是有哪个地方是必须操作的吗？,老师批改完成作业后，首页待批改通知还显示,问题出在修改分项评分， 如果批改作业的时候先修改了分项评分，那个待批改就不会消了,"0625069fae1941090f7d80b01466cc9.png,8721b8ccae8c89ae4ca0e4010e6944e.png",ticket_or_handoff,['作业/布置/批改/反馈']
student,学生,需求,老师晚上好 想问一下做完练习后可以加一个调 倍速的功能吗,在完成练习后 订正重听这里新增一个倍速播放的功能,,d68796b15c5218f13f7ba078d4b5244.jpg,ticket_or_handoff,[]
academic,教务,需求,老师，这里的总课时，能否再添加一栏赠送课时或者模考课时？,教务-班级页面的增加一项数据维度,,e4d0f225dee7ffedfa8455e4e550901.jpg,ticket_or_handoff,"['班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,题目问题,这道题不对，应该选B,托福题目答案有误,,2e05c8d91cfc539ed42332d6b101d8e.png,ticket_or_handoff,[]
student,学生,bug,老师，这是学生在系统自己刷的题目，她点开答题解析看不到自己的答案，学员以前自己刷的题，现在错题也看不到了,开放题库学生完成答题后，答案未显示，无分数,,dc01de1d0a73c1cc9a700ddf4fd243e.png,ticket_or_handoff,"['权限/角色/公池', '题库/录题/单词书/模考']"
