audience,port,type,question,desc,answer,attachment,bucket,categories
student,学生,使用问题,有学生反映 模考练习中，听力听一半就没有了,模考答题，听力未完整播放,老师，可能是由于网络或者缓存的原因 学生可以多刷新页面或者关闭页面重新进入 由于网络问题引起的音频加载失败，可以下载音频作答，系统会有提示的，具体规则如下： 如果超过15秒没有加载成功，会间歇性（第1/3/6次）提示：可以将音频下载下来到本地播放 同时，在播放音频界面，右侧有按钮，可以跳过音频（在下载音频到本地听过之后可以跳过）,4cf63e75b25b900e8b7ffa536fd58f4.jpg,kb_candidate,"['音频/录音/听力', '浏览器/网络/缓存', '题库/录题/单词书/模考']"
student,学生,使用问题,老师们，校校上面这套题，登录进去没有办法做测试,学生无法做入学模考测试,登陆过员工账号，有身份数据缓存,1585ee1c04ce188630b80535f41c41e.jpg,kb_candidate,"['账号登录/密码/手机号', '浏览器/网络/缓存', '权限/角色/公池', '题库/录题/单词书/模考']"
student,学生,使用问题,您好 我想问一下学生模考托福，多选题拖不动怎么操作呢？,托福模考测试，多选题拖不动选项,学生未使用谷歌浏览器答题,4f9ebfd59dfabd7322a49de017f1e1c.jpg,kb_candidate,"['浏览器/网络/缓存', '题库/录题/单词书/模考']"
student,学生,使用问题,您好 我想问一下给学生布置托福TPO72听力为啥显示音频加载中，然后就做不了，是这一套音频有bug么？,学生答题音频加载不出来,音频没有问题，建议使用谷歌浏览器,bae6da968d683db4c31607db58a3af5.jpg,kb_candidate,"['作业/布置/批改/反馈', '音频/录音/听力', '浏览器/网络/缓存']"
sales,销售,操作疑问,老师 这个界面我们备注学生情况会写在沟通内容那里 但是教务那边是看不到的 怎么给教务老师开这个权限呢,教务如何看到潜客沟通内容,可以给教务“公池”的权限,,kb_candidate,['权限/角色/公池']
academic,教务,操作疑问,请问学生费用报错班 我操作转班显示这个是什么意思,老师操作学生转班提示无剩余课时,因为 要转入的班级 没有设置总课时,7034cbdabac0c43d684aa4477806eca0_.png,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,使用问题,请问系统上传单词为什么会吞掉了一个list呢？,老师上传单词有一个单元未显示,单词文件表头数据不全,fbbf73cb5ebe5346dd2b57e5a47ef33.png,kb_candidate,[]
teacher,老师,操作疑问,，你好，想问一下自定义作业需要注意些什么呢？填写好之后系统显示数据不完整...,布置自定义作业显示数据不完整,作业的布置时间影响的，开始时间和结束时间不能一样，需要调整一下,98a5f49e0575c7328540058c98f9962.png,kb_candidate,['作业/布置/批改/反馈']
teacher,老师,操作疑问,我想看入学pte的模考题，因为我想给学生做之前看看题目有没有问题，怎么预览pte的入学模考题呢,如何查看入学模考pte的试卷题目,老师可以做下入学模考，或者在pte班级内预览题目,,kb_candidate,"['班级/排课/课时/考勤', '题库/录题/单词书/模考']"
sales,销售,使用问题,请问顾问端在输入的时候，为什么学杂费是没内容？,销售端创建订单，学杂显示没有数据,学杂需要教务添加,2a7953ea0266d21d66eaa017aa8d658.png,kb_candidate,['订单/合同/报课/收费']
sales,销售,操作疑问,老师 这个选项可以添加国际学科这个选项吗,销售端报课课程如何新增,教务端创建下课程，销售建订单时，就可以添加,cc001820d20b202e39d49020abcac20.jpg,kb_candidate,['订单/合同/报课/收费']
teacher,老师,使用问题,校校老师，今天这组单词，不能手工批改哦,单词作业没有办法修改正误,未切换到老师身份,,kb_candidate,"['作业/布置/批改/反馈', '权限/角色/公池']"
student,学生,使用问题,麻烦看一下 这套题口语应该有点问题，好几个学生说跳不出来,学生雅思口语音频加载不出来,未使用谷歌浏览器,,kb_candidate,"['音频/录音/听力', '浏览器/网络/缓存']"
teacher,老师,操作疑问,你好 我们布置作业的时候有这么一个问题 比如我在系统里一次给学生布置10套托福写作题，学生做完1遍之后提交了结果发现成绩不是很理想，他就想重新再做一遍，这些题他还能重复做吗？,布置给学生的题，学生想重做如何操作,布置的作业学生只能提交一次，如果想要多次答题，可以在题库中选择题目开放题库给学生，学生可以在题库进行多次练习，有做题记录可以查看,,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
academic,教务,使用问题,您好 为什么老师课表排的是2场试听，但是后台的已排课李只有一个,老师课表的试听排课和排课申请的数据不对应,数据正常，有一个是一月份预约的课程是排到2月26号的,"b41dce353492f0ed136e1b8e1009592.png,9c0aeb5ee8627176b7f47445aa72e9f.png",kb_candidate,['班级/排课/课时/考勤']
academic,教务,使用问题,各位好 我这想导出一些数据 这是显示没权限么 怎么操作一下 我这选了1个 都导不出,公池导出潜客数据勾选了一个也显示数据过大,公池名单导出是导出的公池全部数据，可以筛选条件后再导出，勾选用于潜客分配,82719af4ce3b2369df7931342001b3a.png,kb_candidate,['权限/角色/公池']
student,学生,使用问题,老师，学生做测试反馈，part1正常，part2没有声音，就卡在这里了,雅思入学模考口语部分没有声音,未使用谷歌浏览器,50497babba0aa3c32c46f3d51bf2c9bf.mp4,kb_candidate,"['作业/布置/批改/反馈', '音频/录音/听力', '浏览器/网络/缓存', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,你好， 我有一些阅读的专项题型的word文档， 可以自己录入系统， 计时练习吗？因为我看系统里面的tpo专项题型， 判断是不太准确的。 选择的a题型， 出来的题目可能是b题型。 自己还没法删选中的题。,tpo题型分类不准确,老师可以对题目题型知识点进行自定义,,kb_candidate,[]
teacher,老师,使用问题,老师看看， 这种匹配题的答题界面不太好找答案呀,雅思答题界面匹配题题目无法选择,建议使用谷歌浏览器,2a429238362952fea0c71846071131c.jpg,kb_candidate,['浏览器/网络/缓存']
academic,教务,操作疑问,麻烦给一个学员开通账号的步骤说明，今天其他老师休息，我需要给一个学员开通账号，谢谢,教务如何新增学生账号,教务身份 点击“学员”点击“新增”,,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池']"
teacher,老师,操作疑问,你好，请问下，我们有没有可能从教师端把学生的听写错词重新布置给他们啊？或者从教师端，导出某个学生的听写错词啊,教师端如何布置学生听写错词,老师端在学员管理-练习情况-错题分析可以查看错词，再次布置和导出,,kb_candidate,['作业/布置/批改/反馈']
teacher,老师,操作疑问,请问过期学员如何续期,学生账号如何续期,续期操作流程： 1、教务/校长账号进入，点击学生管理 2、找到学生账号，点击学生列表中，学生姓名旁边的红色小圆点 3、点击“续期”即可。,,kb_candidate,['账号登录/密码/手机号']
academic,教务,操作疑问,你好 请问 学生的模考测试结果，我在哪里可以看到啊？教务端可以看到吗，我这边有公池,教务如何查看潜客入学模考,教务需要再给销售身份，和查看入学模考的权限,,kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
sales,市场,使用问题,渠道二级菜单为什么只能设置2个呀，不能新增,潜客编辑页面，渠道点击新增没有显示,需要先选择渠道类型，才能选择渠道,aef56121de44766c6f6b4defa32f94b.png,kb_candidate,[]
teacher,老师,使用问题,有的同学发现阅读结束后不会自动跳到听力，需要自己点，如果不点就可以一直在阅读界面，这个bug让限时无意义了,学生反馈托福阅读结束后不会自动跳到听力,老师布置作业未设置倒计时结束禁止答题,,kb_candidate,"['作业/布置/批改/反馈', '音频/录音/听力']"
sales,销售,使用问题,你好 麻烦问下 校校系统怎么申请排课？我这显示不出,销售端申请排课显示无数据,学员未转正，没有班级,ebf127988892748078a2733697e857c.jpg,kb_candidate,['班级/排课/课时/考勤']
student,学生,使用问题,这个点不了，麻烦看一下,学生答题点击无反应,未使用谷歌浏览器,5f0f7e7270ccb1a2da9489c6eb8fa714.mp4,kb_candidate,['浏览器/网络/缓存']
teacher,老师,操作疑问,老师们，要给家长开通账号，才能同步收到学生完成作业的提醒吗？还是家长自行绑定哪儿就行了,家长如何同步收到学生完成作业的提醒,教务端或者校长端，点击学员，找到这名学生后点击编辑，拉到最下面会有家长账号的设置，设置好后家长可以草公账号,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈']"
academic,教务,操作疑问,请问如果续非VIP，要到期了才能操作是不？,学生账号如何续期,账号续费在学员管理这里学生姓名点小圆点,,kb_candidate,['账号登录/密码/手机号']
academic,教务,操作疑问,我给老师的账户添加了公池的功能，但是她们界面看不到入学模测吗，这个要怎么操作呢？可以让老师看到学生的入学模考成绩,如何操作教务可以看到入学模考情况,教务需要查看的话，还需要给一个销售身份，再勾选入学模考,,kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
sales,销售,使用问题,还有一个客户提交后我的客户名单里居然查不到了,潜客录入之后没有显示,先后提交了两次，第一次录入到公池的 - 成功，第二次提交到自己的线索池 - 失败， 他应该是先录入到了公池然后取自己的线索池看，没有,,kb_candidate,['权限/角色/公池']
teacher,老师,操作疑问,你好，学生的系统账号绑定了公众号，但是家长也想了解孩子完成作业的情况，需要怎么操作呢？,家长想了解孩子完成作业的情况，需要怎么操作,教务或者校长，在学员设置账号那里，学生姓名边上会有一个家长二维码,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '小程序/公众号/二维码']"
student,学生,使用问题,学生蔡佳楠说这些题都点不开，没办法答题,ipad开放题库没有办法答题,需要学生在iPad设置里面看一下是否打开了，阻止弹出式窗口，如果打开了，需要关一下,,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,操作疑问,请问，校校分教师端和学生端吗？如果想查老师教案，能实现吗？另外，可以给学生布置临时的学习任务吗？比如某一天某时段应该干什么，完成情况怎么样，谁来监控？,校校分教师端和学生端吗？如果想查老师教案，能实现吗？另外，可以给学生布置临时的学习任务吗？比如某一天某时段应该干什么，完成情况怎么样，谁来监控？,可以在教师端的学员里，点击“任务&清单”，创建临时任务，并设置截止时间，还可以导出学生一天的任务清单。如果想查看老师教案，可以让老师把教案上传到系统的共享云盘里，由教学主管统一查看。,,kb_candidate,['作业/布置/批改/反馈']
sales,销售,使用问题,老师，我做了入学测试，对了8道题，为啥是0分，这个我做的不对，但是显示是正确的,入学测试，对了8道题得分0分，做错的题显示正确,这套题在自有题库用了分数换算规则，0-12.5分，换算成标准分是0分。第一题的都错，题号不一样,"24275ccdb9f42c73191853cf16c44529_.jpg,275a95d3cd7f998dc8d7a05ff372859e_.jpg",kb_candidate,['题库/录题/单词书/模考']
academic,教务,操作疑问,你好，请问可以从后台看到某一位老师的其中一个月的上课时长吗？,如何查看某一位老师的其中一个月的上课时长,可以在数据-运营-老师授课课时查看,,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,使用问题,早上好，我们给学生安排了模考，但是登陆学生账号查收不到作业安排请问这是什么问题呢？,学生看不到作业,学生没有加入班级,"447427adb9f497171f00db2aa31e756.png,bdc339d4293b7b52b45e9dab54e536c.png",kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,老师好，我想问一下助教这边怎么看到孩子的错题集呢,助教怎么看到学生的错题,学员管理练习情况可以看到错题分析,,kb_candidate,['作业/布置/批改/反馈']
teacher,老师,使用问题,作业那里我们已经将学生和班级都拉进任务里但学生还是没能看见我的作业任务,学生看不见作业,学生账号是非vip,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,使用问题,vip学生看不到单词作业,vip学生看不到单词作业,没有布置给该学生,"5f3b9c5d4d7549e308843f6a0eece31d_.jpg,39b69ecfd256d38bd90669444dba5829_.jpg",kb_candidate,"['作业/布置/批改/反馈', '权限/角色/公池']"
principal,校长,操作疑问,没有办法让每个助教都看到校区全部排课吗？（不只自己名下学生的课程）这样工作不方便,如何让每个助教都看到校区全部排课,助教只能看到自己所在班级的排课，如果需要看所有班级的，可以把助教加入到每个班级，或者给一个教务身份，不给排课权限，可以查看课表,,kb_candidate,"['班级/排课/课时/考勤', '权限/角色/公池']"
sales,销售,操作疑问,已签约学员怎么添加多个课程,已签约状态的学生如何报新课程,需要先转为正式学员，然后在学员管理新报课程,,kb_candidate,['订单/合同/报课/收费']
academic,教务,操作疑问,您好 我能在哪里看到老师整月的完整课表么,如何查看老师整月的完整课表,两个方式，一、点击课表，在老师这里筛选；二、点击班级，找到这位老师所在的班，点击排课，在右侧勾选这名老师,,kb_candidate,['班级/排课/课时/考勤']
