review_id,suggested_decision,human_decision,audience,audience_label,port,type,status,category,question,desc,original_answer,suggested_answer,attachment,source_sheet,date,customer,manager,owner,review_note,score
fb-approval-0001,建议入库,,teacher,老师库,老师,使用问题,已处理,作业/布置/批改/反馈；音频/录音/听力；浏览器/网络/缓存；班级/排课/课时/考勤；权限/角色/公池；题库/录题/单词书/模考,老师反应，助教老师布置的模考，老师看不到，改不了,老师看不到助教老师布置的作业，修改不了写作,老师看不到作业的话可能是未加载出来可以刷新，也可以直接在作业管理页面，找到相对应的班级，去查看作业。修改不了写作是学生有一篇写作未完成，已完成的可以修改,老师，您可以先检查三点：学生是否在对应班级里、作业布置对象是否包含该学生、学生账号是否有做题权限。确认后让学生端刷新或重新登录再看。,2496c371a508bc12e25ba8f83606ed8.jpg,企业版用户,2023-02-14 00:00:00,寄托,,,,152
fb-approval-0002,建议入库,,teacher,老师库,老师,使用问题,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；班级/排课/课时/考勤；权限/角色/公池,"您好, 可以帮我看一下为什么给学生布置了作业, 学生那边看不到嘛, 我这边点进去也只能显示这样的",老师布置了作业给学生，学生收不到，老师打开作业显示作业详情获取失败,需要看一下学生是否在班级里，和学生账号类型是否是vip哦,老师，您可以先检查三点：学生是否在对应班级里、作业布置对象是否包含该学生、学生账号是否有做题权限。确认后让学生端刷新或重新登录再看。,3efd14a17736420a5e48ce210ebab1e.png,企业版用户,2023-06-18 00:00:00,乐亦思,,,,127
fb-approval-0003,建议入库,,teacher,老师库,老师,操作疑问,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；班级/排课/课时/考勤；权限/角色/公池；小程序/公众号/二维码,如果一个家长两个孩子在我们这里，小程序是直接切换身份对吗?,如果一个家长两个孩子都有账号，小程序是直接切换身份吗,小程序扫的哪个学生的码就可以看到哪个学生的课表及作业,小程序扫的哪个学生的码就可以看到哪个学生的课表及作业,,企业版用户,2023-03-30 00:00:00,best,,,,124
fb-approval-0004,建议入库,,teacher,老师库,老师,使用问题,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；班级/排课/课时/考勤；权限/角色/公池；小程序/公众号/二维码,家长端看不到课表怎么回事,家长登录小程序显示无操作权限,后台登陆家长小程序可以看到课表，进入作业页面显示无权限是因为学生不是vip账号，只能看课表，家长移除小程序重新扫码就可以了,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,,企业版用户,2023-03-02 00:00:00,方隅,,,,124
fb-approval-0005,建议入库,,teacher,老师库,老师,使用问题,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；班级/排课/课时/考勤；权限/角色/公池；题库/录题/单词书/模考,你好啊 这个老师给学生布置作业 不显示出来 学生那边也不显示呢,老师在班级看不到布置的作业，学生也看不到作业,学生是非vip，需要教务/校长修改账号类型为vip才能作答题库作业,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,,企业版用户,2023-05-16 00:00:00,盎识,,,,124
fb-approval-0006,建议入库,,student,学生库,学生,使用问题,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；音频/录音/听力；权限/角色/公池,学生昨天用自己账号登录看不到老师布置的作业，但是我今天登录学生的账号可以看到。这个可能是什么原因,,学生重新登录一下，可能是没加载出来,老师，您可以先检查三点：学生是否在对应班级里、作业布置对象是否包含该学生、学生账号是否有做题权限。确认后让学生端刷新或重新登录再看。,"8d71194c7c9e656159a520c307ecf99.jpg,8239ce23874e3f552c577431051dc5f.jpg",企业版用户,2023-02-14 00:00:00,北京寰语,,,,123
fb-approval-0007,建议入库,,teacher,老师库,老师,使用问题,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；班级/排课/课时/考勤；权限/角色/公池；题库/录题/单词书/模考,校校，学生已经开课，词汇布置这里看不到班级,老师布置不了单词作业,学生账号类型是非vip，不能布置单词书,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,a49e457c2b1170176a72e6f4a873ce3.jpg,企业版用户,2024-07-01 00:00:00,择藤教育,,,,121
fb-approval-0008,建议入库,,principal,校长库,校长,操作疑问,已处理,账号登录/密码/手机号；浏览器/网络/缓存；班级/排课/课时/考勤；权限/角色/公池；小程序/公众号/二维码,我在小程序里面，能以校长的身份直接查看所有人课表吗,校长可以在小程序上查看老师课表吗,目前只能电脑上看老师课表，如果是临时查看，可以手机浏览器登录网页，但是页面会比较小,目前只能电脑上看老师课表，如果是临时查看，可以手机浏览器登录网页，但是页面会比较小,,企业版用户,2023-03-01 00:00:00,方隅,,,,114
fb-approval-0009,建议入库,,student,学生库,学生,使用问题,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；浏览器/网络/缓存,学生昨天还可以用的，今天就是这个状态了，我们换了几个老师的账号都没法，就布置的没法做。,学生在作业界面，点击作业不能答题,学生浏览器使用不对，换成safari浏览器,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,1d9a3a374cb341befd72e4d289cdee9.jpg,客户数据2月,2023-02-09 00:00:00,澜大,,,,103
fb-approval-0010,建议入库,,academic,教务库,教务,使用问题,已处理,账号登录/密码/手机号；作业/布置/批改/反馈；班级/排课/课时/考勤,请问一下，韩昊伦的账号录了反馈入口，为什么老师找不到反馈入口呢？,给老师排了课，但是首页待反馈没有显示,如果是排的已过时间的课程，不会出现在首页待反馈，老师可以在学员管理或者班级添加反馈,如果是排的已过时间的课程，不会出现在首页待反馈，老师可以在学员管理或者班级添加反馈,"51c583d75f9f3b79d13531c7cfce532.png,5ff72026943a2e57f39ec0cdc2af035.png",企业版用户,2024-08-14 00:00:00,洒脱,,,,102
