review_id,suggested_decision,human_decision,audience,audience_label,port,type,question,desc,answer,rewrite_hint,attachment,categories,score,review_note
fb-review-001,改写后入库,,teacher,老师库,老师,使用问题,早上好，我们给学生安排了模考，但是登陆学生账号查收不到作业安排请问这是什么问题呢？,学生看不到作业,学生没有加入班级,老师，这种情况通常是学生还没有加入对应班级。您先把学生加入到要布置作业的班级里，再让学生端刷新或重新登录查看。,"447427adb9f497171f00db2aa31e756.png,bdc339d4293b7b52b45e9dab54e536c.png","['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池', '题库/录题/单词书/模考']",121,
fb-review-002,建议入库,,student,学生库,学生,使用问题,老师好 15967190711的账号之前是另一个学生的（已经结课） 我已经把新生从老生的班级里移除了 老生还是收到了作业提醒,学生账号修改了信息，老学生还是可以收到公众号通知,如果账号修改了信息，公众号需要取消绑定之前的，再重新让新的学生绑定,老师，如果学生账号信息换过，公众号需要先取消绑定之前的学生，再让新学生重新绑定，这样通知才会发到正确账号。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '小程序/公众号/二维码']",99,
fb-review-003,建议入库,,teacher,老师库,老师,使用问题,老师好，现在班课的账号也要全部设置为vip账号吗我想布置一对多班级的作业,班课的学生布置作业也需要是VIP账号吗,题库作业都是需要vip账号才能做的，和班级无关,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']",99,
fb-review-004,建议入库,,academic,教务库,教务,操作疑问,我们想设置一个老师可以去批改公池内学生的入学模考，但是不希望这个老师看到这些学生的联系方式，这样改怎么设置呐？因为入学模考的权限分在销售下面，销售没有关闭手机号码的权限,设置一个老师可以去批改公池内学生的入学模考，但是不希望这个老师看到这些学生的联系方式，应该如何设置,可以给这个老师一个销售的身份和一个教务的身份，只勾选公池和查看入学模考，这样就看不到学生手机号码,老师，可以给该员工同时配置销售和教务身份，只勾选公池和查看入学模考相关权限，这样能批改公池学生的入学模考，同时避免看到不需要展示的联系方式。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '权限/角色/公池', '题库/录题/单词书/模考']",98,
fb-review-005,建议入库,,teacher,老师库,老师,使用问题,老师，为啥想在系统上填写反馈，只能看到部分课程呀，比如周一的课，我想写反馈就看不到~,老师首页待反馈看不到课程,老师端首页待反馈只显示老师自己的课程，助教端显示班级全部课程,老师，老师端首页的待反馈只显示该老师自己的课程；如果要查看班级全部课程，可以用助教端或有对应权限的账号查看。,45143cce49c80406d1ae4db7f3948fc.png,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池']",97,
fb-review-006,建议入库,,teacher,老师库,老师,使用问题,早晨，这个作业学生端没出现，麻烦看看什么情况,学生看不到作业,老师只布置给了班级里另一个学生，没有选择布置给这个学生,老师，先检查作业的布置对象是否勾选了这个学生。当前更像是作业只布置给了其他学生，重新选择该学生后再补发布即可。,0a1cfd8cd16b61adedd43f7acc4d890.png,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池']",97,
fb-review-007,建议入库,,teacher,老师库,老师,使用问题,你好，错词重测布置了，但系统上看不到学生的任务条，请问需要如何操作呢,老师布置了错词作业，但是班级看不到学生的作业,学生有两个班级，错词布置在了另一个班级里,老师，您可以先检查三点：学生是否在对应班级里、作业布置对象是否包含该学生、学生账号是否有做题权限。确认后让学生端刷新或重新登录再看。,89b1a926f457993b770b0da55c6431b.png,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池']",97,
fb-review-008,建议入库,,academic,教务库,教务,操作疑问,老师好，请问一下现在的教务系统，每个月的总课时的模块，现在在哪里可以找到呀,教务系统，每个月的总课时的模块，现在在哪里可以找到,数据运营板块可以看到，教务账号需要在员工管理看一下有没有这个权限,老师，每月总课时可以在数据运营板块查看。如果教务账号看不到，需要到员工管理里确认是否开通了对应权限。,,"['账号登录/密码/手机号', '班级/排课/课时/考勤', '权限/角色/公池']",95,
fb-review-009,建议入库,,student,学生库,学生,使用问题,您好 我想问一下给学生布置托福TPO72听力为啥显示音频加载中，然后就做不了，是这一套音频有bug么？,学生答题音频加载不出来,音频没有问题，建议使用谷歌浏览器,老师，您可以先让学生使用 Chrome 浏览器重新进入，并刷新页面或清理缓存。如果音频超过 15 秒仍未加载，可按页面提示下载音频本地播放；仍不行的话，再提供学生账号、测试链接和截图转人工排查。,bae6da968d683db4c31607db58a3af5.jpg,"['作业/布置/批改/反馈', '音频/录音/听力', '浏览器/网络/缓存']",95,
fb-review-010,建议入库,,teacher,老师库,老师,使用问题,您好 反馈一下 上午用系统的时间 好几次闪退到登录页面是什么情况呢,登录后页面闪退到登录界面,建议使用谷歌，客户用的360浏览器,建议使用谷歌，客户用的360浏览器,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '浏览器/网络/缓存']",94,
fb-review-011,建议入库,,student,学生库,学生,使用问题,老师们，校校上面这套题，登录进去没有办法做测试,学生无法做入学模考测试,登陆过员工账号，有身份数据缓存,老师，这种情况一般是浏览器里保留了员工账号的身份缓存。可以先退出账号，清理浏览器缓存后，再用学生账号重新登录测试。,1585ee1c04ce188630b80535f41c41e.jpg,"['账号登录/密码/手机号', '浏览器/网络/缓存', '权限/角色/公池', '题库/录题/单词书/模考']",93,
fb-review-012,改写后入库,,teacher,老师库,老师,使用问题,作业那里我们已经将学生和班级都拉进任务里但学生还是没能看见我的作业任务,学生看不见作业,学生账号是非vip,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤']",93,
