review_id,suggested_decision,human_decision,audience,audience_label,port,type,status,category,question,desc,suggested_answer,date,customer,manager,owner,review_note,score
fb-approval-0001,建议入库,,teacher,老师库,老师,使用问题,不处理,账号登录/密码/手机号；作业/布置/批改/反馈；音频/录音/听力；浏览器/网络/缓存；班级/排课/课时/考勤；班级,你好，我的校校进入界面后，到班级和作业那里就一直转圈圈不动是什么情况呢？,使用safari浏览器的时候加载很慢,如果后续还有这样的情况，可以提供下手机号和录屏,2026-03-23,成外国际部,,,,154
fb-approval-0002,建议入库,,teacher,老师库,老师,使用问题,不处理,账号登录/密码/手机号；作业/布置/批改/反馈；音频/录音/听力；浏览器/网络/缓存；题库/录题/单词书/模考；登录,老师您好，今天的系统是打不开吗？试了好几次一直这样显示,反馈题库界面加载慢,系统题库这里数据较大，网络差的情况加载时间就会很长,2026-06-01,超级学长,,,,128
fb-approval-0003,建议入库,,teacher,老师库,老师,使用问题,不处理,作业/布置/批改/反馈；音频/录音/听力；浏览器/网络/缓存；班级/排课/课时/考勤；题库/录题/单词书/模考；布置作业页面,老师好 选择AP的班级没有模考,AP课程关联题库以后，不知道要怎么操作才能加载,目前看应该是要刷新才会更新,2026-03-06,北京环球,,,,118
fb-approval-0004,建议入库,,student,学生库,学生,使用问题,不处理,账号登录/密码/手机号；作业/布置/批改/反馈；浏览器/网络/缓存；登录,学生反馈网页无法打开,ipad打不开系统,从唯学给的截图里找到原因了，是网址不正确导致的，目前解决方法给到清理缓存后重新输入网址登录,2026-03-25,剑明教育,,,,100
fb-approval-0005,建议入库,,student,学生库,学生,使用问题,不处理,账号登录/密码/手机号；音频/录音/听力；浏览器/网络/缓存；答题,13817416494，这个是注册测试的手机号,海外学生答题界面显示空白,学生ip显示在英国，看视频时网络问题加载不出来图片，说了让开vpn后再试试,2026-04-02,山湫,,,,99
fb-approval-0006,建议入库,,student,学生库,学生,使用问题,不处理,作业/布置/批改/反馈；音频/录音/听力；浏览器/网络/缓存；其他,老师，请问学生在香港 登陆 校校系统 显示一直无法刷新，该如何解决呢,作业界面无法加载,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,2026-04-19,新航道,,,,98
fb-approval-0007,建议入库,,teacher,老师库,老师,使用问题,不处理,作业/布置/批改/反馈；音频/录音/听力；浏览器/网络/缓存；作业管理页面,查看自己作业布置数据的时候出现的提示,作业管理界面出现访问频次异常,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,2026-05-01,新航道北京,,,,98
fb-approval-0008,建议入库,,teacher,老师库,老师,使用问题,不处理,账号登录/密码/手机号；作业/布置/批改/反馈；权限/角色/公池；作业管理页面,老师，校校系统上，新的助教老师添加之前的学员账号之后，作业没办法同步更新，助教这边看的作业数量和学生那边的不一样,助教看不到作业,老师，您可以先检查三点：学生是否在对应班级里、作业布置对象是否包含该学生、学生账号是否有做题权限。确认后让学生端刷新或重新登录再看。,2026-03-22,新航道武汉,,,,98
fb-approval-0009,建议入库,,teacher,老师库,老师,使用问题,不处理,账号登录/密码/手机号；作业/布置/批改/反馈；权限/角色/公池；题库/录题/单词书/模考；AI分析,1昨天助教已经花了2金币生成，今天再次打开后，内容又没了，只能当天生成当天查看吗？ 2助教针对该学员的模考生成了AI点评，学生账号那边也看不到吗,结果页AI分析生成后，第二天就没有了,技术反馈老师发的这个结果页没有生成过ai分析，https://sac.xiaosaas.com/org/IELTS/result.html?id=10501529&stubj=&qid=&stuid=246837&wrcd=1&xiaov=1779814459这个结果页昨天18点多生成过,2026-06-05,留学猫,,,,98
fb-approval-0010,建议入库,,student,学生库,学生,使用问题,pending,作业/布置/批改/反馈；音频/录音/听力；权限/角色/公池；答题,麻烦看下这里哦,口语无法录音,老师，您可以先让学生使用 Chrome 浏览器重新进入，并刷新页面或清理缓存。如果音频超过 15 秒仍未加载，可按页面提示下载音频本地播放；仍不行的话，再提供学生账号、测试链接和截图转人工排查。,2026-06-03,秒懂,,,,96
