反馈日期,客户问题,问题描述,客户名称,所属功能,端口,问题类型,处理进度,反馈进度,测试处理状态,Bug状态,测试备注,备注,附件,周
2026/06/10,为什么会这样,反馈无法登录，待确认具体情况,秒懂,登录,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,单词英译中（选择）在提交前，不能进行修改了，不小心点错了，就错了,单词闪卡更新问题,杭州壹橙,单词书,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,词组没有发音,词组不发音,杭州壹橙,单词书,老师,使用问题（t）,,,待确认,P1,没有音标的单词，目前没有显示发音按钮，今天会处理,,,2026W24
2026/06/10,老师们，出现这个问题是什么原因呀,从描述看是网络问题,孚外教育,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,8月的试卷，大概什么时候可以进入系统呀,SAT更新,美言教育,系统题库,老师,题目需求（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,"辛苦老师布置一套新托福模考题
命名：6.10 傅庚瑶新托福模考
听力：五月第一套，只用router就行
阅读：4月第一套阅读真题
写作：选个router难度的
口语：都可以
替换掉：傅庚瑶托福阅读模考",入学模考配置,中鼎,入学模考,老师,入学模考配置（t）,,,,,,,,2026W24
2026/06/10,老师，强监管模式只能下载客户端，苹果的平板怎么下载（appstore可以吗）,需求ipad客户端,新航道,客户端,学生,功能需求和优化（s）,,,,,,,,2026W24
2026/06/10,老师，上传的单词书都是词组，上传后显示信息不全，不能布置诶,单词书上传后要匹配30分钟左右,Keystone,单词书,老师,使用问题（t）,,,待确认,,这个AI还在跑，需要跑完之后才可以显示出来,,,2026W24
2026/06/10,老师，今天晚上两个情况，第一个就是上面这个学生的问题,反馈答题时会频繁闪退,新航道西安,答题,学生,使用问题（t）,,,待确认,,2.闪退问题让学生把所有后台退出后，再作答作业试下,,,2026W24
2026/06/10,第二个是下面👇这个学生，他明明在我的班里，老师也布置的作业，全班同学都能看到作业，但是他看不到,反馈在班里但是收不到作业（从描述看应该不在班里）,新航道西安,学生作业页面,学生,使用问题（t）,,,处理完成,优化,之前的作业需要重新布置一下，后面后入班的学生可以看到入班之前的作业,,,2026W24
2026/06/10,您好，想问下学生下载完校校客户端后，打开这个界面的网址填写什么呀？还是说客户端下载有误,客户端登录疑问,领育学院,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,老师请问天津校区的网址是多少,客户端登录疑问,新航道天津,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,老师您好，学生的校校系统出现这个情况要怎么解决呢,客户端登录疑问,新航道西安,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,cat4的卷子你们会更新吗？,CAT4试卷更新,Keystone,系统题库,老师,题目需求（s）,,,,,,,,2026W24
2026/06/10,你好，请问一下：学生做模考链接，如果说中途有别的事情退出去了，但是没有点那个提交，后面重新登录的话之前做的题痕迹还会存在吗？,学生答题上传疑问,亦诺国际,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,各位老师上午好，系统内有四六级的题目练习吗,四六级题目,JXLX,系统题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,哈喽 这个报告阅读整个只对了5个题 还能有3.5吗,新托福分数计算问题,守壹私塾,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,请问校校系统里这些雅思真题一栏下面的题目区别是什么，比如“26年听力机经真题合集”名字清楚直观，那么其他的”真题10套“， ”听力真题20套“ 等等对应的是不同年份，还是不同的出版书？,系统题目疑问,阿基米德,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,老师们 学生反馈 学习结束后 想要单独点击这个待加强词汇 是点不了的,反馈学习模式结束后要单独学习模糊或者待加强词汇,Keystone,单词书,学生,功能需求和优化（s）,,,,,,,,2026W24
2026/06/10,老师您好，雅思阅读篇章wood：a valuable resources in New Zealand's economy这篇第13题的答案错了一个字母，所以会把考生们从原文中复制过来的正确答案判错,雅思答案拼写,新航道杭州,系统题目,老师,题目数据问题（t）,,,,,,,,2026W24
